  t=34.038235, Gx=21.145038, Gy=-33.541985, Gz=3.297710, Ax=0.007080, Ay=-0.087646, Az=1.083984
  t=34.038235, Gx=-37.557252, Gy=-25.870229, Gz=6.885496, Ax=0.157471, Ay=0.249268, Az=1.213623
  t=34.038235, Gx=-51.473282, Gy=-12.274809, Gz=62.916031, Ax=-0.122559, Ay=-0.164551, Az=0.812012
  t=33.850000, Gx=-7.000000, Gy=68.374046, Gz=-60.770992, Ax=-0.426025, Ay=-0.424072, Az=0.916260
  t=33.897059, Gx=-23.977099, Gy=24.435115, Gz=-3.847328, Ax=-0.370850, Ay=-0.323975, Az=0.906982
  t=33.850000, Gx=30.083969, Gy=-38.183206, Gz=1.267176, Ax=-0.283691, Ay=-0.203125, Az=0.882568
  t=33.755882, Gx=-33.068702, Gy=37.076336, Gz=0.396947, Ax=-0.310547, Ay=-0.244629, Az=0.915283
  t=33.567647, Gx=11.160305, Gy=-8.732824, Gz=-1.267176, Ax=-0.364502, Ay=-0.266846, Az=0.871094
  t=32.767647, Gx=-3.282443, Gy=-1.755725, Gz=-12.274809, Ax=-0.372314, Ay=-0.270752, Az=0.876221
  t=34.132353, Gx=-23.671756, Gy=24.916031, Gz=-5.274809, Ax=-0.366699, Ay=-0.277588, Az=0.871338
  t=33.379412, Gx=-80.137405, Gy=-52.167939, Gz=-18.053435, Ax=-0.423340, Ay=-0.374023, Az=1.020020
  t=33.426471, Gx=5.969466, Gy=-10.740458, Gz=-17.374046, Ax=-0.378174, Ay=-0.303711, Az=0.845215
  t=33.379412, Gx=13.213740, Gy=7.328244, Gz=-20.862595, Ax=-0.379639, Ay=-0.267334, Az=0.804688
  t=33.332353, Gx=-15.633588, Gy=22.435115, Gz=70.961832, Ax=-0.376221, Ay=-0.331055, Az=0.947510
  t=33.332353, Gx=-35.122137, Gy=-33.198473, Gz=90.809160, Ax=-0.420898, Ay=-0.321045, Az=0.824951
  t=33.332353, Gx=-40.877863, Gy=-48.992366, Gz=56.977099, Ax=-0.381592, Ay=-0.236084, Az=0.759766
  t=33.332353, Gx=-59.175573, Gy=-11.541985, Gz=161.526718, Ax=-0.402832, Ay=-0.255127, Az=0.808594
  t=33.238235, Gx=-100.519084, Gy=80.824427, Gz=20.000000, Ax=-0.291992, Ay=-0.174072, Az=0.759521
  t=33.426471, Gx=7.297710, Gy=7.511450, Gz=17.404580, Ax=-0.335938, Ay=-0.273926, Az=0.774902
  t=33.332353, Gx=-23.862595, Gy=44.664122, Gz=32.007634, Ax=-0.348633, Ay=-0.219971, Az=0.762939
  t=33.426471, Gx=28.351145, Gy=-50.114504, Gz=29.984733, Ax=-0.433105, Ay=-0.303223, Az=0.904053
  t=33.332353, Gx=-38.389313, Gy=-12.465649, Gz=50.671756, Ax=-0.364990, Ay=-0.263428, Az=0.798096
  t=33.332353, Gx=-6.610687, Gy=-48.152672, Gz=51.748092, Ax=-0.479492, Ay=-0.299072, Az=0.903564
  t=33.191176, Gx=-5.786260, Gy=27.832061, Gz=11.534351, Ax=-0.482422, Ay=-0.268799, Az=0.904785
  t=33.191176, Gx=-47.572519, Gy=24.381679, Gz=30.610687, Ax=-0.375244, Ay=-0.181152, Az=0.687988
  t=33.285294, Gx=16.030534, Gy=-23.671756, Gz=32.603053, Ax=-0.455811, Ay=-0.354004, Az=0.935791
  t=33.285294, Gx=13.877863, Gy=-16.709924, Gz=-56.083969, Ax=-0.381348, Ay=-0.279053, Az=0.791748
  t=33.332353, Gx=-24.709924, Gy=59.458015, Gz=-55.480916, Ax=-0.476562, Ay=-0.313721, Az=0.927490
  t=33.426471, Gx=6.946565, Gy=17.839695, Gz=-23.954198, Ax=-0.493896, Ay=-0.296143, Az=0.921631
  t=33.473529, Gx=15.022901, Gy=-36.465649, Gz=-38.022901, Ax=-0.356934, Ay=-0.244385, Az=0.793213
  t=33.614706, Gx=-73.954198, Gy=7.755725, Gz=24.992366, Ax=-0.358643, Ay=-0.258301, Az=0.782715
  t=33.520588, Gx=23.694656, Gy=-8.404580, Gz=-41.832061, Ax=-0.479248, Ay=-0.356201, Az=0.969238
  t=33.614706, Gx=44.297710, Gy=17.854962, Gz=20.625954, Ax=-0.335205, Ay=-0.249268, Az=0.806396
  t=33.755882, Gx=-52.732824, Gy=12.305344, Gz=19.152672, Ax=-0.278320, Ay=-0.280029, Az=0.677002
  t=33.755882, Gx=-5.091603, Gy=10.015267, Gz=1.519084, Ax=-0.474854, Ay=-0.306641, Az=0.996582
  t=33.755882, Gx=-29.000000, Gy=57.603053, Gz=123.954198, Ax=-0.427246, Ay=-0.251221, Az=0.677246
  t=33.802941, Gx=-56.038168, Gy=-8.923664, Gz=46.374046, Ax=-0.441895, Ay=-0.354248, Az=0.994873
  t=33.897059, Gx=16.198473, Gy=-4.900763, Gz=-2.251908, Ax=-0.339844, Ay=-0.421387, Az=0.843018
  t=33.897059, Gx=6.664122, Gy=66.862595, Gz=-32.129771, Ax=-0.488525, Ay=-0.307861, Az=0.896240
  t=34.038235, Gx=-15.083969, Gy=2.091603, Gz=-13.076336, Ax=-0.335449, Ay=-0.273682, Az=0.697266
  t=33.944118, Gx=32.251908, Gy=-17.160305, Gz=-49.488550, Ax=-0.367676, Ay=-0.102295, Az=0.554932
  t=34.132353, Gx=-50.366412, Gy=19.877863, Gz=-8.083969, Ax=-0.251465, Ay=-0.301025, Az=0.563965
  t=34.179412, Gx=-32.877863, Gy=21.625954, Gz=12.114504, Ax=-0.269043, Ay=-0.229004, Az=0.594727
  t=34.085294, Gx=-76.687023, Gy=5.511450, Gz=10.167939, Ax=-0.310791, Ay=-0.329834, Az=0.767578
  t=33.944118, Gx=-61.793893, Gy=5.656489, Gz=36.763359, Ax=-0.328125, Ay=-0.338135, Az=0.755371
