accel:{'x': 0.313, 'y': 0.143, 'z': -0.794}, gyro:{'x': 26.123, 'y': 141.83, 'z': 142.647}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.827, 'y': -0.131, 'z': -0.798}, gyro:{'x': -63.049, 'y': -90.919, 'z': -100.67}, agnet:{'x': 5.914, 'y': -3.173, 'z': -4.739}
accel:{'x': 0.756, 'y': -0.274, 'z': -0.539}, gyro:{'x': -39.978, 'y': -161.697, 'z': -185.249}, agnet:{'x': 2.957, 'y': -3.702, 'z': -5.924}
accel:{'x': 0.155, 'y': 0.076, 'z': -0.975}, gyro:{'x': 36.644, 'y': 15.121, 'z': -14.725}, agnet:{'x': -14.96, 'y': -4.231, 'z': -19.296}
accel:{'x': 1.23, 'y': 0.051, 'z': -1.074}, gyro:{'x': 18.753, 'y': 142.555, 'z': 27.061}, agnet:{'x': -12.351, 'y': -5.465, 'z': -17.096}
accel:{'x': -0.295, 'y': -0.017, 'z': -0.832}, gyro:{'x': 41.115, 'y': -5.768, 'z': 20.454}, agnet:{'x': -5.393, 'y': -5.818, 'z': -14.726}
accel:{'x': 0.854, 'y': -0.096, 'z': -1.224}, gyro:{'x': 4.509, 'y': -178.406, 'z': -209.648}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.696, 'y': 0.196, 'z': -1.135}, gyro:{'x': 15.327, 'y': 58.739, 'z': 103.218}, agnet:{'x': -17.221, 'y': -2.292, 'z': -21.497}
accel:{'x': 0.072, 'y': 0.003, 'z': -0.446}, gyro:{'x': -45.227, 'y': 89.165, 'z': 162.842}, agnet:{'x': -16.004, 'y': -4.584, 'z': -20.651}
accel:{'x': 0.208, 'y': 0.15, 'z': -0.709}, gyro:{'x': 0.679, 'y': -90.179, 'z': -59.418}, agnet:{'x': -2.087, 'y': -5.641, 'z': -9.14}
accel:{'x': 0.698, 'y': -0.22, 'z': -1.25}, gyro:{'x': -39.818, 'y': -147.186, 'z': -55.336}, agnet:{'x': -15.134, 'y': -3.702, 'z': -19.127}
accel:{'x': 0.642, 'y': -0.286, 'z': -0.722}, gyro:{'x': -61.951, 'y': -66.154, 'z': -108.421}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.688, 'y': -0.378, 'z': -0.327}, gyro:{'x': 150.993, 'y': 169.678, 'z': 102.379}, agnet:{'x': -18.265, 'y': -4.407, 'z': -24.205}
accel:{'x': 1.16, 'y': 0.142, 'z': -1.506}, gyro:{'x': 69.977, 'y': 129.219, 'z': 88.196}, agnet:{'x': -10.959, 'y': -6.17, 'z': -17.435}
accel:{'x': 0.39, 'y': 0.118, 'z': -0.926}, gyro:{'x': -28.419, 'y': 14.923, 'z': -97.984}, agnet:{'x': -6.958, 'y': -5.289, 'z': -14.895}
