  t=30.979412, Gx=-14.541985, Gy=19.473282, Gz=13.297710, Ax=-0.654785, Ay=0.165527, Az=-0.933594
  t=30.979412, Gx=-9.404580, Gy=13.366412, Gz=6.916031, Ax=-0.560791, Ay=0.104980, Az=-0.654053
  t=31.026471, Gx=-10.129771, Gy=22.839695, Gz=-1.961832, Ax=-0.471924, Ay=-0.007080, Az=-0.528320
  t=30.979412, Gx=-11.557252, Gy=22.312977, Gz=-7.519084, Ax=-0.732910, Ay=-0.219238, Az=-0.185791
  t=31.026471, Gx=12.503817, Gy=-40.419847, Gz=11.229008, Ax=-0.576172, Ay=-0.296631, Az=-0.220215
  t=30.932353, Gx=-6.007634, Gy=32.832061, Gz=-30.832061, Ax=-0.615234, Ay=-0.209961, Az=-0.410156
  t=30.885294, Gx=4.877863, Gy=-7.778626, Gz=-10.870229, Ax=-0.508301, Ay=0.101807, Az=-0.670654
  t=30.932353, Gx=20.885496, Gy=-49.725191, Gz=8.526718, Ax=-0.656006, Ay=0.464844, Az=-1.129883
  t=30.932353, Gx=8.877863, Gy=-26.519084, Gz=11.297710, Ax=-0.663574, Ay=0.235107, Az=-0.943604
  t=30.932353, Gx=-2.259542, Gy=5.213740, Gz=-7.793893, Ax=-0.600830, Ay=0.162598, Az=-0.699707
  t=30.932353, Gx=8.366412, Gy=-23.343511, Gz=2.389313, Ax=-0.733154, Ay=0.078857, Az=-0.728516
  t=30.885294, Gx=-2.030534, Gy=-9.625954, Gz=8.351145, Ax=-0.543457, Ay=0.209717, Az=-0.770752
  t=30.885294, Gx=6.969466, Gy=23.320611, Gz=-34.335878, Ax=-0.579346, Ay=-0.222900, Az=-0.376953
  t=30.838235, Gx=1.259542, Gy=7.885496, Gz=2.954198, Ax=-0.567383, Ay=0.235352, Az=-0.993408
  t=30.885294, Gx=-13.984733, Gy=24.893130, Gz=-1.694656, Ax=-0.497803, Ay=0.305420, Az=-0.789551
  t=30.838235, Gx=-18.549618, Gy=6.435115, Gz=23.977099, Ax=-0.656494, Ay=-0.040771, Az=-0.515625
