  t=46.085294, Gx=8.862595, Gy=0.175573, Gz=0.541985, Ax=0.435730, Ay=-0.960327, Az=-0.074219
  t=45.897059, Gx=2.618321, Gy=-3.160305, Gz=0.580153, Ax=0.452271, Ay=-0.966187, Az=-0.057190
  t=46.085294, Gx=-10.030534, Gy=-9.938931, Gz=0.564885, Ax=0.440979, Ay=-0.959595, Az=-0.060669
  t=45.755882, Gx=1.549618, Gy=-9.366412, Gz=0.526718, Ax=0.441162, Ay=-0.964172, Az=-0.064392
  t=46.038235, Gx=-11.160305, Gy=5.122137, Gz=0.694656, Ax=0.446228, Ay=-0.964478, Az=-0.058289
  t=46.038235, Gx=-3.022901, Gy=0.366412, Gz=0.458015, Ax=0.446289, Ay=-0.960938, Az=-0.057312
  t=45.897059, Gx=0.381679, Gy=1.625954, Gz=0.549618, Ax=0.453491, Ay=-0.965393, Az=-0.052917
  t=45.944118, Gx=-5.839695, Gy=12.122137, Gz=0.625954, Ax=0.443787, Ay=-0.960632, Az=-0.060120
  t=45.850000, Gx=16.305344, Gy=2.625954, Gz=0.534351, Ax=0.446045, Ay=-0.961914, Az=-0.058167
  t=46.132353, Gx=4.687023, Gy=-0.259542, Gz=0.580153, Ax=0.447510, Ay=-0.964844, Az=-0.062317
  t=46.226471, Gx=-2.534351, Gy=-0.030534, Gz=0.526718, Ax=0.441711, Ay=-0.960510, Az=-0.061340
  t=45.755882, Gx=11.473282, Gy=3.328244, Gz=0.679389, Ax=0.445312, Ay=-0.963013, Az=-0.061829
  t=45.755882, Gx=3.244275, Gy=0.015267, Gz=0.503817, Ax=0.446350, Ay=-0.965271, Az=-0.063843
  t=45.708824, Gx=3.206107, Gy=-1.648855, Gz=0.671756, Ax=0.444580, Ay=-0.961121, Az=-0.058838
  t=45.614706, Gx=4.969466, Gy=-1.839695, Gz=0.519084, Ax=0.443909, Ay=-0.963379, Az=-0.060425
  t=45.755882, Gx=1.122137, Gy=0.465649, Gz=0.732824, Ax=0.443115, Ay=-0.962341, Az=-0.061646
  t=45.708824, Gx=5.145038, Gy=-2.763359, Gz=0.656489, Ax=0.446289, Ay=-0.962524, Az=-0.059326
  t=46.038235, Gx=-1.328244, Gy=0.488550, Gz=0.511450, Ax=0.440308, Ay=-0.960266, Az=-0.063965
  t=46.038235, Gx=8.000000, Gy=1.671756, Gz=0.496183, Ax=0.438904, Ay=-0.958191, Az=-0.066956
  t=45.755882, Gx=-1.717557, Gy=-3.748092, Gz=0.580153, Ax=0.441956, Ay=-0.961487, Az=-0.060669
  t=45.002941, Gx=7.053435, Gy=-0.809160, Gz=0.564885, Ax=0.446106, Ay=-0.959534, Az=-0.057678
  t=46.038235, Gx=8.274809, Gy=-5.229008, Gz=0.610687, Ax=0.446716, Ay=-0.963684, Az=-0.060486
  t=45.850000, Gx=-0.580153, Gy=-2.267176, Gz=0.564885, Ax=0.446533, Ay=-0.961060, Az=-0.055786
  t=45.755882, Gx=2.519084, Gy=-5.412214, Gz=0.648855, Ax=0.442383, Ay=-0.960693, Az=-0.057495
  t=45.614706, Gx=-0.038168, Gy=-6.793893, Gz=0.610687, Ax=0.449280, Ay=-0.960083, Az=-0.052429
  t=45.614706, Gx=7.274809, Gy=0.656489, Gz=0.610687, Ax=0.429565, Ay=-0.955444, Az=-0.073120
  t=46.273529, Gx=7.572519, Gy=4.847328, Gz=0.511450, Ax=0.445190, Ay=-0.963562, Az=-0.054077
  t=45.567647, Gx=9.526718, Gy=-3.717557, Gz=0.564885, Ax=0.439209, Ay=-0.960693, Az=-0.059021
  t=45.755882, Gx=7.671756, Gy=-2.282443, Gz=0.618321, Ax=0.445312, Ay=-0.961975, Az=-0.060242
  t=45.897059, Gx=1.893130, Gy=1.893130, Gz=0.534351, Ax=0.441162, Ay=-0.959534, Az=-0.059875
  t=45.897059, Gx=3.648855, Gy=0.045802, Gz=0.564885, Ax=0.444519, Ay=-0.961426, Az=-0.055664
  t=44.814706, Gx=11.351145, Gy=0.755725, Gz=0.450382, Ax=0.445312, Ay=-0.961853, Az=-0.055420
  t=46.132353, Gx=2.587786, Gy=-1.687023, Gz=0.580153, Ax=0.465149, Ay=-0.966614, Az=-0.035034
  t=45.191176, Gx=12.641221, Gy=7.641221, Gz=0.519084, Ax=0.460510, Ay=-0.967224, Az=-0.047729
